job_role,required_skills,preferred_skills
Data Analyst,"Python|SQL|Excel|Pandas|Data Visualization","Power BI|Tableau|Statistics"
Data Scientist,"Python|SQL|Pandas|Machine Learning|Statistics","Scikit-learn|TensorFlow|Tableau"
Machine Learning Engineer,"Python|Machine Learning|Scikit-learn|SQL|Git","TensorFlow|PyTorch|Docker|AWS"
AI Engineer,"Python|Machine Learning|Deep Learning|Git|APIs","Transformers|PyTorch|Docker|Cloud"
Backend Developer,"Python|APIs|SQL|Git|Database Design","FastAPI|Django|Docker|AWS"
Frontend Developer,"JavaScript|React|HTML|CSS|Git","TypeScript|Redux|Testing"
Full Stack Developer,"JavaScript|React|Node.js|SQL|Git","MongoDB|Docker|Cloud"
Software Engineer,"Python|Data Structures|Algorithms|Git|SQL","Testing|Docker|Cloud"
Business Analyst,"SQL|Excel|Requirements Analysis|Data Visualization|Communication","Power BI|Tableau|Python"
DevOps Engineer,"Linux|Git|Docker|CI/CD|Cloud","Kubernetes|Terraform|Python"
